Run no,AgNO3,Temperature,Starch,MMT
1,0.5,25,0.25,1.46
2,0.5,30,0.25,1.46
3,0.5,35,0.25,1.48
4,0.5,40,0.25,1.5
5,0.5,50,0.25,1.51
6,0.5,60,0.25,1.52
7,1,25,0.5,1.66
8,1,30,0.5,1.67
9,1,35,0.5,1.69
10,1,40,0.5,1.71
11,1,50,0.5,1.75
12,1,60,0.5,1.82
13,1.5,25,1,1.91
14,1.5,30,1,1.94
15,1.5,35,1,1.97
16,1.5,40,1,2.21
17,1.5,50,1,2.28
18,1.5,60,1,2.37
19,2,25,1.5,2.31
20,2,30,1.5,2.19
21,2,35,1.5,2.23
22,2,40,1.5,2.29
23,2,50,1.5,2.33
24,2,60,1.5,2.42
25,5,25,2,2.25
26,5,30,2,2.28
27,5,35,2,2.32
28,5,40,2,2.35
29,5,50,2,2.46
30,5,60,2,2.49
