Run no,AgNO3,Temperature,Starch,MMT,Actual Size of silver
1,0.5,25,0.25,1.46,3.62
2,0.5,30,0.25,1.46,3.65
3,0.5,35,0.25,1.48,3.66
4,0.5,40,0.25,1.5,3.69
5,0.5,50,0.25,1.51,3.73
6,0.5,60,0.25,1.52,3.74
7,1,25,0.5,1.66,3.96
8,1,30,0.5,1.67,3.98
9,1,35,0.5,1.69,4.02
10,1,40,0.5,1.71,4.05
11,1,50,0.5,1.75,4.08
12,1,60,0.5,1.82,4.19
13,1.5,25,1,1.91,4.22
14,1.5,30,1,1.94,4.25
15,1.5,35,1,1.97,4.26
16,1.5,40,1,2.21,4.29
17,1.5,50,1,2.28,4.32
18,1.5,60,1,2.37,4.33
19,2,25,1.5,2.31,4.36
20,2,30,1.5,2.19,4.63
21,2,35,1.5,2.23,4.71
22,2,40,1.5,2.29,4.75
23,2,50,1.5,2.33,4.71
24,2,60,1.5,2.42,5.26
25,5,25,2,2.25,4.87
26,5,30,2,2.28,4.98
27,5,35,2,2.32,5.14
28,5,40,2,2.35,5.43
29,5,50,2,2.46,5.7
30,5,60,2,2.49,5.74
